window_start,window_end,node_uuid,node_addr,leadership_time_ms,votes_granted,votes_rejected,pre_vote_rejections,follower_behind_events,snapshots_installed,invocation_retries,invocation_timeouts,suspecting_others,was_suspected,tcp_disconnects,tcp_connect_timeouts,node_risk_score,asymmetry_score
1970-01-01 15:28:00,1970-01-01 15:29:00,,172.31.88.62:5701,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
1970-01-01 15:28:00,1970-01-01 15:29:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,89933,3,0,0,0,0,0,0,0,0,0,0,0,-1.499
1970-01-01 15:28:00,1970-01-01 15:29:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,30164,5,0,0,0,0,0,0,0,0,0,0,0,-0.503
1970-01-01 15:28:00,1970-01-01 15:29:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,30083,5,0,0,0,0,0,0,0,0,0,0,0,-0.501
1970-01-01 15:28:00,1970-01-01 15:29:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,33559,5,0,0,0,0,0,0,0,0,0,0,0,-0.559
1970-01-01 15:28:00,1970-01-01 15:29:00,fba139f5-31c2-4198-9951-6ebc1c3a8bac,172.31.88.36:5701,0,6,0,0,0,0,0,0,0,0,0,0,0,0.000
1970-01-01 15:29:00,1970-01-01 15:30:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,147006,1,0,0,0,0,0,0,0,0,0,0,0,-2.450
1970-01-01 15:29:00,1970-01-01 15:30:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,1,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:29:00,1970-01-01 15:30:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,1,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:29:00,1970-01-01 15:30:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,92994,0,0,0,0,0,0,0,0,0,0,0,0,-1.550
1970-01-01 15:29:00,1970-01-01 15:30:00,fba139f5-31c2-4198-9951-6ebc1c3a8bac,172.31.88.36:5701,0,1,0,0,0,0,0,0,0,0,0,0,0,0.000
1970-01-01 15:30:00,1970-01-01 15:31:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:30:00,1970-01-01 15:31:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:30:00,1970-01-01 15:31:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:30:00,1970-01-01 15:31:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:31:00,1970-01-01 15:32:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:31:00,1970-01-01 15:32:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:31:00,1970-01-01 15:32:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:31:00,1970-01-01 15:32:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:32:00,1970-01-01 15:33:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:32:00,1970-01-01 15:33:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:32:00,1970-01-01 15:33:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:32:00,1970-01-01 15:33:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:33:00,1970-01-01 15:34:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:33:00,1970-01-01 15:34:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:33:00,1970-01-01 15:34:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:33:00,1970-01-01 15:34:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:34:00,1970-01-01 15:35:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:34:00,1970-01-01 15:35:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:34:00,1970-01-01 15:35:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:34:00,1970-01-01 15:35:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:35:00,1970-01-01 15:36:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:35:00,1970-01-01 15:36:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:35:00,1970-01-01 15:36:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:35:00,1970-01-01 15:36:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:36:00,1970-01-01 15:37:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:36:00,1970-01-01 15:37:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:36:00,1970-01-01 15:37:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:36:00,1970-01-01 15:37:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:37:00,1970-01-01 15:38:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:37:00,1970-01-01 15:38:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:37:00,1970-01-01 15:38:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:37:00,1970-01-01 15:38:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:38:00,1970-01-01 15:39:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:38:00,1970-01-01 15:39:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:38:00,1970-01-01 15:39:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:38:00,1970-01-01 15:39:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:39:00,1970-01-01 15:40:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:39:00,1970-01-01 15:40:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:39:00,1970-01-01 15:40:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:39:00,1970-01-01 15:40:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:40:00,1970-01-01 15:41:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:40:00,1970-01-01 15:41:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:40:00,1970-01-01 15:41:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:40:00,1970-01-01 15:41:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:41:00,1970-01-01 15:42:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:41:00,1970-01-01 15:42:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:41:00,1970-01-01 15:42:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:41:00,1970-01-01 15:42:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:42:00,1970-01-01 15:43:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:42:00,1970-01-01 15:43:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:42:00,1970-01-01 15:43:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:42:00,1970-01-01 15:43:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:43:00,1970-01-01 15:44:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:43:00,1970-01-01 15:44:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:43:00,1970-01-01 15:44:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:43:00,1970-01-01 15:44:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:44:00,1970-01-01 15:45:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:44:00,1970-01-01 15:45:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:44:00,1970-01-01 15:45:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:44:00,1970-01-01 15:45:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:45:00,1970-01-01 15:46:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:45:00,1970-01-01 15:46:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:45:00,1970-01-01 15:46:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:45:00,1970-01-01 15:46:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:46:00,1970-01-01 15:47:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:46:00,1970-01-01 15:47:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:46:00,1970-01-01 15:47:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:46:00,1970-01-01 15:47:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:47:00,1970-01-01 15:48:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:47:00,1970-01-01 15:48:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:47:00,1970-01-01 15:48:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:47:00,1970-01-01 15:48:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:48:00,1970-01-01 15:49:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:48:00,1970-01-01 15:49:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:48:00,1970-01-01 15:49:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:48:00,1970-01-01 15:49:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:49:00,1970-01-01 15:50:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:49:00,1970-01-01 15:50:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:49:00,1970-01-01 15:50:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:49:00,1970-01-01 15:50:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:50:00,1970-01-01 15:51:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:50:00,1970-01-01 15:51:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:50:00,1970-01-01 15:51:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:50:00,1970-01-01 15:51:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:51:00,1970-01-01 15:52:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:51:00,1970-01-01 15:52:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:51:00,1970-01-01 15:52:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:51:00,1970-01-01 15:52:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:52:00,1970-01-01 15:53:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:52:00,1970-01-01 15:53:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:52:00,1970-01-01 15:53:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:52:00,1970-01-01 15:53:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:53:00,1970-01-01 15:54:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:53:00,1970-01-01 15:54:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:53:00,1970-01-01 15:54:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:53:00,1970-01-01 15:54:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:54:00,1970-01-01 15:55:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:54:00,1970-01-01 15:55:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:54:00,1970-01-01 15:55:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:54:00,1970-01-01 15:55:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:55:00,1970-01-01 15:56:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:55:00,1970-01-01 15:56:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:55:00,1970-01-01 15:56:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:55:00,1970-01-01 15:56:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:56:00,1970-01-01 15:57:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:56:00,1970-01-01 15:57:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:56:00,1970-01-01 15:57:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:56:00,1970-01-01 15:57:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:57:00,1970-01-01 15:58:00,a1de37fb-8b5a-4bca-84ad-ea3eac442300,172.31.88.62:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
1970-01-01 15:57:00,1970-01-01 15:58:00,a4029840-61ff-420e-a782-a586e0c68d8c,172.31.88.126:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:57:00,1970-01-01 15:58:00,bf3e5d70-ff06-42e5-8793-3b32152e9f54,172.31.88.38:5701,60000,0,0,0,0,0,0,0,0,0,0,0,0,-1.000
1970-01-01 15:57:00,1970-01-01 15:58:00,e9e2c324-1346-4c6b-981e-6d716974d62f,172.31.88.132:5701,120000,0,0,0,0,0,0,0,0,0,0,0,0,-2.000
